Serial No.,Chance of Admit
484,0.71
249,0.8
102,0.64
328,0.69
422,0.77
34,0.9
141,0.84
470,0.86
55,0.7
265,0.75
264,0.7
37,0.64
420,0.58
38,0.58
305,0.62
311,0.76
489,0.76
488,0.79
404,0.91
334,0.71
192,0.87
463,0.62
214,0.96
266,0.71
493,0.53
111,0.61
471,0.87
70,0.78
491,0.67
313,0.78
154,0.79
340,0.81
402,0.66
230,0.82
481,0.8
380,0.71
206,0.57
216,0.93
424,0.94
299,0.9
43,0.53
461,0.77
59,0.36
468,0.78
403,0.78
21,0.64
189,0.93
350,0.62
174,0.89
169,0.64
53,0.78
421,0.42
263,0.7
145,0.8
168,0.64
177,0.9
147,0.75
135,0.89
414,0.49
269,0.83
133,0.71
186,0.89
207,0.63
274,0.52
7,0.75
446,0.91
187,0.84
271,0.72
24,0.95
225,0.67
395,0.89
494,0.62
392,0.71
434,0.71
497,0.96
163,0.67
462,0.68
203,0.97
126,0.64
96,0.42
32,0.74
253,0.71
339,0.81
81,0.5
440,0.66
10,0.45
158,0.65
194,0.94
204,0.97
406,0.52
365,0.77
248,0.71
377,0.34
94,0.44
379,0.56
181,0.71
78,0.64
401,0.63
180,0.73
354,0.63
469,0.81
386,0.96
18,0.65
441,0.53
110,0.68
267,0.72
217,0.91
352,0.73
298,0.86
228,0.64
453,0.93
185,0.72
73,0.93
331,0.8
6,0.9
427,0.71
64,0.56
95,0.36
356,0.73
353,0.64
128,0.78
457,0.51
261,0.87
286,0.93
200,0.72
107,0.87
179,0.72
61,0.48
138,0.71
246,0.81
84,0.92
393,0.84
49,0.82
33,0.91
410,0.61
210,0.68
376,0.38
370,0.67
284,0.8
218,0.85
66,0.55
233,0.69
360,0.81
361,0.85
483,0.83
36,0.88
148,0.83
308,0.8
479,0.71
183,0.68
39,0.52
88,0.66
478,0.65
166,0.78
211,0.79
296,0.68
40,0.48
430,0.95
20,0.62
368,0.57
385,0.96
238,0.86
282,0.8
425,0.91
342,0.79
13,0.78
57,0.64
99,0.9
418,0.52
411,0.54
146,0.81
191,0.9
268,0.73
258,0.78
29,0.46
318,0.58
433,0.86
165,0.81
364,0.69
156,0.77
399,0.67
319,0.79
50,0.78
415,0.72
499,0.73
127,0.85
62,0.47
273,0.49
277,0.89
363,0.91
76,0.72
9,0.5
209,0.64
444,0.87
118,0.45
333,0.75
275,0.58
292,0.56
213,0.95
3,0.72
171,0.68
162,0.53
89,0.64
293,0.56
314,0.67
47,0.86
416,0.76
80,0.46
243,0.7
131,0.96
447,0.93
429,0.69
16,0.54
460,0.89
242,0.65
173,0.86
137,0.76
151,0.93
321,0.75
69,0.68
27,0.76
455,0.71
419,0.6
202,0.72
287,0.92
260,0.9
143,0.92
2,0.76
115,0.59
362,0.93
495,0.68
251,0.74
120,0.71
197,0.73
278,0.7
378,0.47
371,0.72
347,0.47
439,0.67
355,0.59
122,0.94
257,0.76
106,0.69
341,0.75
184,0.75
63,0.54
435,0.64
152,0.94
335,0.73
236,0.88
312,0.84
346,0.49
104,0.57
83,0.92
5,0.65
285,0.94
11,0.52
35,0.94
400,0.95
176,0.85
482,0.78
245,0.63
48,0.89
239,0.7
390,0.76
464,0.57
136,0.82
498,0.93
366,0.86
467,0.71
175,0.87
86,0.76
19,0.63
492,0.54
500,0.84
87,0.72
327,0.63
485,0.73
329,0.8
42,0.49
17,0.66
46,0.88
85,0.94
90,0.74
250,0.77
160,0.52
114,0.72
198,0.73
454,0.73
97,0.48
117,0.56
270,0.77
344,0.59
82,0.96
413,0.59
431,0.74
451,0.82
317,0.54
244,0.76
15,0.61
108,0.91
372,0.89
450,0.79
397,0.84
276,0.78
259,0.77
4,0.8
476,0.59
332,0.73
490,0.65
129,0.84
140,0.78
232,0.74
196,0.78
423,0.73
291,0.58
294,0.64
77,0.74
252,0.7
241,0.6
51,0.76
432,0.73
247,0.72
384,0.62
458,0.37
337,0.72
326,0.81
477,0.62
369,0.51
121,0.94
443,0.92
375,0.39
283,0.81
381,0.78
237,0.85
159,0.61
172,0.89
31,0.65
155,0.8
234,0.64
280,0.67
178,0.82
144,0.97
153,0.86
373,0.95
205,0.69
54,0.72
295,0.61
212,0.82
304,0.73
